book_id,title,author,year,numberOfCopies
72,ntroduction to Algorithm,Thomas H. Cormen,2009,5
430,Python Crash Course,Eric Matthes,2015,5
553,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,1994,56
4694,JavaScript: The Good Parts,Douglas Crockford,2008,5
7677,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,2008,5
8097,Head First Design Patterns,Eric Freeman,2004,5
8390,Code Complete: A Practical Handbook of Software Construction,Steve McConnell,2004,5
8397,You Don’t Know JS: ES6 & Beyond,Kyle Simpson,2015,5
9544,Design Patterns: Elements of Reusable Object-Oriented Software,Richard Helm,1993,5
9677,The C++ Programming Language,Bjarne Stroustrup,2013,5
9757,Effective C++: 55 Specific Ways to Improve Your Programs and Designs, Scott Meyers,2005,5
